Month,Country,Alpha,Delta,Omicron
Dec-20,Finland,1,0,0
Dec-20,Ghana,1,0,0
Dec-20,Hong Kong*,1,0,0
Dec-20,Iraq,1,0,0
Dec-20,Lebanon,1,0,0
Dec-20,Malawi,0,1,0
Dec-20,Peru,1,0,0
Jan-21,Bangladesh,1,0,0
Jan-21,France,1,0,0
Jan-21,Ghana,1,0,0
Jan-21,Iraq,1,0,0
Jan-21,Liechtenstein,1,0,0
Jan-21,Malawi,0,1,0
Jan-21,Morocco,1,0,0
Jan-21,New Zealand,2,0,0
Jan-21,Nigeria,1,0,0
Jan-21,Philippines,1,0,0
Jan-21,Slovakia,0,1,0
Jan-21,Togo,1,0,0
Feb-21,Bahrain,1,0,0
Feb-21,Bangladesh,1,0,0
Feb-21,Czech Republic,1,0,0
Feb-21,Djibouti,1,0,0
Feb-21,Germany,1,0,0
Feb-21,Ghana,1,0,0
Feb-21,Iraq,2,0,0
Feb-21,India,0,1,0
Feb-21,Lebanon,1,0,0
Feb-21,Liechtenstein,3,0,0
Feb-21,Malawi,0,1,0
Feb-21,Nigeria,1,0,0
Feb-21,Palestine,1,0,0
Feb-21,Switzerland,1,0,0
Feb-21,Tunisia,1,0,0
Feb-21,United States,1,0,0
Mar-21,Austria,1,0,0
Mar-21,Czech Republic,1,0,0
Mar-21,Lebanon,4,0,0
Mar-21,New Zealand,1,0,0
Mar-21,Nigeria,1,0,0
Mar-21,Slovakia,1,0,0
Mar-21,Spain,1,0,0
Mar-21,Switzerland,1,0,0
Mar-21,United States,6,0,0
Mar-21,United Kingdom,3,0,0
Apr-21,Estonia,2,0,0
Apr-21,Germany,1,0,0
Apr-21,Malawi,0,1,0
Apr-21,Netherlands,1,0,0
Apr-21,New Zealand,1,0,0
Apr-21,Nigeria,1,0,0
Apr-21,Pakistan,1,0,0
Apr-21,Poland,1,0,0
Apr-21,Saudi Arabia,1,0,0
Apr-21,Somalia,1,0,0
Apr-21,Switzerland,1,0,0
Apr-21,Taiwan,1,0,0
Apr-21,United States,7,0,0
May-21,Austria,4,0,0
May-21,Bahrain,0,1,0
May-21,China,0,2,0
May-21,Finland,0,1,0
May-21,India,0,1,0
May-21,Kenya,1,1,0
May-21,Myanmar,1,0,0
May-21,Netherlands,1,0,0
May-21,New Zealand,1,0,0
May-21,Pakistan,1,0,0
May-21,Slovakia,1,0,0
May-21,Thailand,1,0,0
May-21,United States,15,0,0
May-21,United Kingdom,0,1,0
Jun-21,Bahrain,0,1,0
Jun-21,Bangladesh,0,1,0
Jun-21,China,0,1,0
Jun-21,Djibouti,0,1,0
Jun-21,Germany,2,3,0
Jun-21,Hong Kong*,0,1,0
Jun-21,Kenya,0,1,0
Jun-21,Liechtenstein,0,1,0
Jun-21,Malawi,0,1,0
Jun-21,Mexico,1,0,0
Jun-21,Myanmar,0,1,0
Jun-21,Netherlands,0,1,0
Jun-21,New Zealand,1,1,0
Jun-21,Nigeria,0,1,0
Jun-21,Serbia,0,1,0
Jun-21,Thailand,1,1,0
Jun-21,United States,3,2,0
Jun-21,United Kingdom,0,1,0
Jun-21,Uzbekistan,1,0,0
Jul-21,Austria,0,2,0
Jul-21,Bahrain,0,1,0
Jul-21,Bangladesh,0,1,0
